Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,
2017116,1:22:33,50,17.25,,2017116,1:22:48,50,-1,,
2017116,1:22:53,50,16.3125,,2017116,1:23:8,50,-1,,
2017116,1:23:13,50,16.3125,,2017116,1:23:28,50,-1,,
2017116,1:23:33,50,16.4375,,2017116,1:23:48,50,-1,,
2017116,1:23:53,50,16.875,,2017116,1:24:9,50,-1,,
2017116,1:24:14,50,17.375,,2017116,1:24:29,50,-1,,2017116,1:24:34,10,18,,2017116,1:24:49,10,-1,,
2017116,1:25:4,10,-1,,2017116,1:25:19,10,-1,,
2017116,1:25:24,10,19.4375,,2017116,1:25:39,10,-1,,
2017116,1:25:44,10,19.75,,2017116,1:25:59,10,-1,,
2017116,1:26:4,10,20,,2017116,1:26:19,10,-1,,
2017116,1:26:24,10,20.125,,2017116,1:26:39,10,-1,,
2017116,1:26:44,10,20.1875,,2017116,1:26:59,10,-1,,
2017116,1:27:4,10,20.25,,2017116,1:27:19,10,-1,,
2017116,1:27:24,10,20.3125,,2017116,1:27:39,10,-1,,
2017116,1:27:44,10,20.3125,,2017116,1:28:0,10,-1,,
2017116,1:28:5,10,20.375,,2017116,1:28:20,10,-1,,
2017116,1:28:25,10,20.4375,,2017116,1:28:40,10,-1,,
2017116,1:28:45,10,20.4375,,2017116,1:29:0,10,-1,,
2017116,1:29:5,10,20.5,,2017116,1:29:20,10,-1,,
2017116,1:29:26,10,20.5,,2017116,1:29:41,10,-1,,
2017116,1:29:46,10,20.5625,,2017116,1:30:1,10,-1,,
2017116,1:30:6,10,20.5625,,2017116,1:30:21,10,-1,,
2017116,1:30:26,10,20.5625,,2017116,1:30:41,10,-1,,
2017116,1:30:46,10,20.5625,,2017116,1:31:1,10,-1,,
2017116,1:31:6,10,20.5625,,2017116,1:31:21,10,-1,,
2017116,1:31:26,10,20.5625,,2017116,1:31:41,10,-1,,
2017116,1:31:46,10,20.625,,2017116,1:32:1,10,-1,,
2017116,1:32:16,10,-1,,2017116,1:32:31,10,-1,,
2017116,1:32:37,10,20.625,,2017116,1:32:52,10,-1,,2017116,1:32:57,45,21.125,,2017116,1:33:12,45,-1,,
2017116,1:33:17,45,22.8125,,2017116,1:33:32,45,-1,,
2017116,1:33:37,45,24.6875,,2017116,1:33:52,45,-1,,
2017116,1:33:57,45,31.5,,2017116,1:34:12,45,-1,,
2017116,1:34:17,45,36.375,,2017116,1:34:32,45,-1,,
2017116,1:34:37,45,40.1875,,2017116,1:34:52,45,-1,,
2017116,1:34:57,45,42.125,,2017116,1:35:2,45,42.5,,
2017116,1:35:17,45,-1,,2017116,1:35:33,45,-1,,
2017116,1:35:38,45,44.875,,2017116,1:35:48,45,0,,
2017116,1:35:53,45,45.875,,2017116,1:36:8,45,-1,,
2017116,1:36:13,45,47.1875,,2017116,1:36:28,45,-1,,
2017116,1:36:33,45,48.75,,2017116,1:36:48,45,-1,,
2017116,1:36:53,45,49.75,,2017116,1:37:8,45,-1,,
2017116,1:37:13,45,50.125,,2017116,1:37:28,45,-1,,
2017116,1:37:43,45,-1,,2017116,1:37:58,45,-1,,
2017116,1:38:3,45,50,,2017116,1:38:18,45,-1,,
2017116,1:38:23,45,49.9375,,2017116,1:38:39,45,-1,,
2017116,1:38:44,45,49.8125,,2017116,1:38:59,45,-1,,
2017116,1:39:14,45,-1,,2017116,1:39:29,45,-1,,
2017116,1:39:44,45,-1,,2017116,1:39:59,45,-1,,
2017116,1:40:14,45,-1,,2017116,1:40:29,45,-1,,
2017116,1:40:44,45,-1,,2017116,1:40:59,45,-1,,
2017116,1:41:14,45,-1,,2017116,1:41:29,45,-1,,
2017116,1:41:45,45,-1,,2017116,1:42:0,45,-1,,
2017116,1:42:15,45,-1,,